## Chart-Ready Datasets (CSV)

- Use these CSV blocks directly for plotting if needed.

### Price Timeseries (221 rows shown of 221)

```csv
timestamp,price_usd,volume_24h_usd,market_cap_usd,rsi_14,macd,macd_signal,macd_histogram,sma_50,sma_200,ema_50,ema_200,volatility_24h
2026-01-28T22:03:33.861923+00:00,32.93,870529001,7851614265,51.87,0.34262036,0.6012065,-0.25858614,31.43940402,24.93475953,31.41223294,24.9850886,1.10563961
2026-01-28T23:03:27.142871+00:00,33.29,863563382,7932255172,56.06,0.31950012,0.54204337,-0.22254325,31.55118634,24.99124222,31.48077474,25.04171182,1.13356935
2026-01-29T00:01:18.505000+00:00,34.27838501,862568203.08000004,8166503055.94999981,,,,,,,,,
2026-01-29T00:07:58.454109+00:00,34.11,860511928,8166503056,62.2,0.47511463,0.53132843,-0.0562138,31.8466593,25.12221488,31.73782926,25.18019029,1.31109529
2026-01-29T01:01:23.999000+00:00,33.88611803,844450044.44000006,8065972167.60000038,,,,,,,,,
2026-01-29T01:12:35.895011+00:00,33.83,814106018,8086093612,58.85,0.42694049,0.49055845,-0.06361796,32.09328027,25.24281843,31.88724365,25.29346578,1.36781373
2026-01-29T02:08:26.814374+00:00,33.15,796987399,7903139224,49.88,0.35224303,0.46146954,-0.10922652,32.20836038,25.30028846,31.93396169,25.34539765,1.64551796
2026-01-29T03:02:35.401757+00:00,32.06,768710701,7649144036,40.18,0.17876786,0.39215312,-0.21338526,32.29110251,25.3481456,31.91672855,25.38528925,1.21646686
2026-01-29T04:03:31.303301+00:00,31.76,763326001,7574468693,38.24,-0.00947266,0.28828097,-0.29775363,32.35584954,25.39168235,31.86775011,25.42225854,1.24864735
2026-01-29T05:04:27.014115+00:00,31.98,764829502,7616322509,41.2,-0.09568449,0.20555931,-0.3012438,32.42959776,25.43995641,31.861527,25.47007764,1.47686638
2026-01-29T06:08:38.246944+00:00,32.03,733121335,7575615296,40.99,-0.13692002,0.14197661,-0.27889664,32.50866216,25.49092251,31.87492043,25.52190523,1.49304555
2026-01-29T07:02:36.832317+00:00,32.77,746523772,7787525160,49.59,-0.10165823,0.09718131,-0.19883954,32.61484009,25.54623193,31.91945687,25.58082493,1.7211718
2026-01-29T08:03:38.274925+00:00,32.46,732839942,7735958042,46.37,-0.08587702,0.07183515,-0.15771217,32.71854646,25.60150852,31.96109022,25.63594863,1.21664942
2026-01-29T09:03:31.537456+00:00,32.53,713161620,7763336369,47.43,-0.1087916,0.02956454,-0.13835613,32.79686044,25.65483652,31.97221888,25.68506751,1.07769225
2026-01-29T10:03:35.412012+00:00,32.26,699333608,7710331549,44.66,-0.12743838,0.00012843,-0.1275668,32.87286606,25.70878792,31.98708518,25.73500843,1.17380948
2026-01-29T11:00:16.016000+00:00,32.59728933,684494660.77999997,7756369792.81999969,,,,,,,,,
2026-01-29T11:10:22.079178+00:00,32.59,683038918,7771447298,48.53,-0.10382437,-0.03934333,-0.06448103,33.00819172,25.81701149,32.03660666,25.84546534,0.75450787
2026-01-29T12:02:22.686000+00:00,32.92853253,690085938.55999994,7832833014.75,,,,,,,,,
2026-01-29T12:13:21.344231+00:00,33.65,696962417,7920695090,59.17,0.00728738,-0.03521071,0.04249809,33.13364864,25.93184042,32.13049893,25.96427735,1.00573341
2026-01-29T13:10:14.298949+00:00,33.43,705323281,7984479590,56.32,0.10904028,0.01733535,0.09170493,33.2097703,25.99613554,32.22335894,26.02986846,1.08698169
2026-01-29T14:00:13.373000+00:00,34.0176883,708241037.88999999,8112431936.67000008,,,,,,,,,
2026-01-29T14:13:34.394893+00:00,34.26,707058815,8165892150,63.41,0.27184204,0.09986069,0.17198136,33.29978228,26.12127964,32.38288254,26.15894639,1.08791601
2026-01-29T15:00:39.178000+00:00,33.28592031,711689890.53999996,7972858376,,,,,,,,,
2026-01-29T15:07:42.490855+00:00,32.85,719679754,7906936719,48.5,0.14785935,0.11758538,0.03027397,33.29443853,26.23011463,32.40791089,26.25517445,1.57419417
2026-01-29T16:04:08.797029+00:00,32.84,755064414,7835478515,48.32,0.08344129,0.10158294,-0.01814164,33.26926036,26.28231119,32.40691822,26.30433492,1.61033308
2026-01-29T17:00:28.345000+00:00,33.69881224,762490263.17999995,8033302002.63000011,,,,,,,,,
2026-01-29T17:07:43.797027+00:00,33.63,760917797,8028085626,55.29,0.19316883,0.1418879,0.05128092,33.2822444,26.4032572,32.53603368,26.43290049,1.79750911
2026-01-29T18:05:12.577403+00:00,33.38,768294474,7946911489,52.15,0.1752205,0.14716702,0.02805348,33.29352071,26.46025364,32.56535871,26.48612191,1.36102294
2026-01-29T19:10:13.641176+00:00,32.53,772179746,7760451643,44.26,0.0897373,0.13214908,-0.04241178,33.28515895,26.5130132,32.55788694,26.53161921,1.65119047
2026-01-29T20:04:20.374806+00:00,32.09,771797796,7669256533,41.05,-0.04810896,0.0777647,-0.12587366,33.23529432,26.55987801,32.50633947,26.57067953,1.73469168
2026-01-29T21:01:36.822000+00:00,32.58547887,778366942.97000003,7776844851.27999973,,,,,,,,,
2026-01-29T21:12:49.292364+00:00,32.47,777808997,7747226257,45.12,-0.09176476,0.01997122,-0.11173598,33.19496689,26.67009615,32.51050314,26.67825924,1.37051939
2026-01-29T22:01:31.802000+00:00,31.75791555,784021029.48000002,7566937181.07999992,,,,,,,,,
2026-01-29T22:03:28.126754+00:00,31.77,783970150,7566937181,39.52,-0.17723779,-0.02222964,-0.15500815,33.15424164,26.72166639,32.47573347,26.72278772,1.4898833
2026-01-29T23:03:28.204377+00:00,30.91,802696737,7369486331,33.88,-0.36600881,-0.14017582,-0.225833,33.03227688,26.81705434,32.36546477,26.81000157,1.59314454
2026-01-30T00:01:32.714000+00:00,30.75373878,795647921.92999995,7334594689.57999992,,,,,,,,,
2026-01-30T00:07:47.339857+00:00,30.58,797567551,7318836309,32.22,-0.56916071,-0.30011031,-0.26905041,32.85978963,26.90493252,32.1991847,26.88835737,1.17355883
2026-01-30T01:02:09.346000+00:00,29.99943198,799076804.92999995,7153299799.01000023,,,,,,,,,
2026-01-30T01:13:24.068681+00:00,29.97,796567278,7149999452,28.79,-0.76006638,-0.46589688,-0.2941695,32.6951994,26.98528497,32.00137172,26.96218694,1.10640629
2026-01-30T02:02:43.859469+00:00,29.48,814908747,7028130298,25.86,-0.83786595,-0.54100627,-0.29685968,32.59929701,27.02410937,31.90007777,26.99853448,0.81678163
2026-01-30T03:02:09.685000+00:00,28.51106077,824244231.84000003,6780614275.72000027,,,,,,,,,
2026-01-30T03:03:30.505740+00:00,28.49,824345902,6780614276,25.73,-0.87056316,-0.55356479,-0.31699837,32.58896301,27.02152587,31.88056642,27.00691071,0.7587209
2026-01-30T04:03:27.312486+00:00,29.2,824089437,6942066746,21.96,-1.10981677,-0.75206223,-0.35775454,32.36511224,27.08447486,31.58884814,27.06484799,1.33971448
2026-01-30T05:04:29.310943+00:00,29.12,808764729,6951604106,31.23,-1.05272638,-0.80403184,-0.24869454,32.29782205,27.12645231,31.52036419,27.1088192,1.92808706
2026-01-30T06:01:22.437000+00:00,29.09532178,800479307.16999996,6946332944.39000034,,,,,,,,,
2026-01-30T06:14:01.946686+00:00,28.94,794163529,6914158396,30.62,-1.03321,-0.89021716,-0.14299284,32.14274979,27.20653425,31.33137653,27.18470977,1.83560836
2026-01-30T07:03:38.529702+00:00,28.8,789837628,6859904774,29.73,-1.03023702,-0.92043907,-0.10979796,32.06374931,27.24533412,31.23130165,27.222941,1.11595319
2026-01-30T08:01:08.811000+00:00,29.12437037,799960097.01999998,6947611638.38000011,,,,,,,,,
2026-01-30T08:04:30.342303+00:00,29.09,797426166,6934614193,28.6,-1.02723984,-0.94342243,-0.08381741,31.968362,27.2826373,31.12999182,27.25987691,1.15303836
2026-01-30T09:03:30.025146+00:00,29.19,811567024,6959374221,34.01,-0.91161426,-0.9357723,0.02415804,31.81752972,27.36172889,30.98747031,27.34138683,0.60401152
2026-01-30T10:04:27.725691+00:00,29.27,816528553,6976964934,35.12,-0.85496868,-0.91857976,0.06361108,31.74434665,27.40058312,30.92011232,27.38032085,0.6243059
2026-01-30T11:13:13.255208+00:00,30,833874047,7134545896,36.46,-0.79396403,-0.8926857,0.09872167,31.66566575,27.4355629,30.85876388,27.41960978,0.55648562
2026-01-30T12:07:59.607053+00:00,30.51,838581078,7297312144,46.86,-0.63863306,-0.83261058,0.19397752,31.59488107,27.47720865,30.85303215,27.46473867,1.04291419
2026-01-30T13:03:34.395089+00:00,29.96,823780649,7141424763,52.44,-0.48741494,-0.75771165,0.27029671,31.53197848,27.51813301,30.85678665,27.50952363,1.07393332
2026-01-30T14:03:32.347779+00:00,29.3,715975298,6979119526,45.9,-0.47459421,-0.70781766,0.23322344,31.44131556,27.55109787,30.79868237,27.53902634,1.50798802
2026-01-30T15:13:30.888357+00:00,29.12,810533717,6956953274,40.57,-0.50974371,-0.67560847,0.16586477,31.33872655,27.58285061,30.71733554,27.56543628,1.85827522
2026-01-30T16:01:20.696000+00:00,29.0323693,787420223.78999996,6941530071.94999981,,,,,,,,,
2026-01-30T16:07:56.586928+00:00,28.87,781909520,6891549246,38.53,-0.52088861,-0.62221687,0.10132827,31.1925749,27.6473127,30.58201325,27.62841099,1.39533848
2026-01-30T17:03:28.574339+00:00,29.23,782430986,6962935333,37.13,-0.53371597,-0.60638058,0.07266461,31.13183653,27.67772811,30.50938721,27.65875146,0.87505698
2026-01-30T18:13:34.016421+00:00,29.81,780225597,7039705193,42.14,-0.48069369,-0.57743633,0.09674264,31.08296081,27.71240918,30.47081967,27.69468944,1.08591047
2026-01-30T19:01:47.473000+00:00,31.04822345,808309028.42999995,7394593204.15999985,,,,,,,,,
2026-01-30T19:02:34.385292+00:00,31.07,808848630,7394593204,48.58,-0.37279047,-0.52830395,0.15551348,31.05004823,27.75068104,30.46645178,27.73589642,1.08328117
2026-01-30T20:03:30.010165+00:00,32.21,851275602,7679194309,61.3,-0.02411697,-0.35206465,0.32794768,31.01650659,27.83924562,30.5644783,27.83223831,1.69270827
2026-01-30T21:01:54.653000+00:00,31.03316937,864674852.22000003,7441487151.67000008,,,,,,,,,
2026-01-30T21:03:35.017438+00:00,31.05,864765712,7398272625,67.73,0.20905874,-0.22693293,0.43599167,31.03033152,27.89015186,30.6671267,27.88774164,1.76624784
2026-01-30T22:13:31.933975+00:00,30.96,847729628,7377173040,56.5,0.19888951,-0.09170249,0.290592,30.95253938,27.96529027,30.65574559,27.95630957,2.85694018
2026-01-30T23:03:32.804311+00:00,31.14,823926291,7423153298,55.04,0.20487376,-0.03410952,0.23898328,30.91667348,28.00497379,30.66149666,27.99413823,2.3195697
2026-01-31T00:08:45.906447+00:00,,,,56.73,0.24500595,0.02435029,0.22065566,30.88503458,28.04765673,30.68805922,28.03719074,2.33272855
2026-01-31T01:13:48.210701+00:00,31.08,799152115,7397750794,51.58,0.20272406,0.01591645,0.18680761,30.874442,28.04500859,30.66729399,28.04500859,2.44323431
2026-01-31T02:02:41.015731+00:00,31.36,777172049,7456465428,57.49,0.26550181,0.07185023,0.19365158,30.83576844,28.0867902,30.70768829,28.0867902,1.58887167
2026-01-31T03:02:03.551000+00:00,31.76199176,743954806.78999996,7577641167.69999981,,,,,,,,,
2026-01-31T03:03:33.648461+00:00,31.76,743865234,7577641168,58,0.29565128,0.11807922,0.17757206,30.7959642,28.12743914,30.736217,28.12743914,0.47721361
